playlist_name,playlist_id,playlist_genre,playlist_subgenre
Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop
Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop
Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop
Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop
Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop
Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop
Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop
K-Party Dance Mix,37i9dQZF1DX4RDXswvP6Mj,pop,dance pop
Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop
Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop
Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop
Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop
90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop
Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,pop,dance pop
Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,pop,dance pop
Best of 2019 Dance Pop: Japan,37i9dQZF1DXdOtZGKonFlM,pop,dance pop
Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop
TUNES DANCE AND POP,3arpkhoRWXEYbdCpVAIrRR,pop,dance pop
Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop
ELETRIC POP & DANCE,7316uT3vVzTidCI8cinBUv,pop,dance pop
Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop
The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop
Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop
"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop
Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop
Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop
Intro to Post-Teen Pop,6o6MNYZqHSkMAKcCHPNu7K,pop,post-teen pop
🤩🤪Post Teen Pop🤪🤩,6IT8LGpwLw3Pt2XnVUBN7j,pop,post-teen pop
Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop
Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop
a taste of the mainstream,4gbXqmZDUFHqlaYjf4uVyS,pop,post-teen pop
post teen pop,2ltt5ouiEO301o2jbxn30d,pop,post-teen pop
BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop
Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop
post teen pop,45AKTTGQEfYgAyidW5hucn,pop,post-teen pop
post teen pop,6rjxP7GQKoqqgoakzxl3PY,pop,post-teen pop
Post-Teen Pop,6HprqD6WZMx5peClrxaprN,pop,post-teen pop
post teen pop,3kvwJXPULhSUalL6ykJbn5,pop,post-teen pop
Post-teen pop,2KyjkYsSsC1UR75b0m98vd,pop,post-teen pop
post-teen pop,4TvZA7Pml7mHLgbwNomlnm,pop,post-teen pop
Electro Pop | Electropop,2a5i2ZtEXGKwVGL16J8N0p,pop,electropop
Electropop Hits  2017-2020,7kyvBmlc1uSqsTL0EuNLrx,pop,electropop
Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop
ELECTROPOP,2UsEj2GUukV0GLbsE3rldz,pop,electropop
This Is: Javiera Mena,37i9dQZF1DWSOvcBNdfJ87,pop,electropop
ElectroPop 2020,4frhr6RQM2fMOm2mpvOVo6,pop,electropop
Electropop - Pop,5TiiHps0hNCyQ6ijVkNZQs,pop,electropop
This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,pop,electropop
ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop
Electropop 80/90s,3FBD3d5zl74LaoBMVC4IXq,pop,electropop
Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop
Electropop And Play,7p30DzTAgW6OhspSXHTI88,pop,electropop
Mix ElectroPop//ElectroHouse// DeepHouse 2020,23swqzpOZwW1NhPiZ7iyFI,pop,electropop
ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop
